collected_date,keyword,search_pc,search_mobile,search_total,comp_idx,avg_depth,avg_ctr_pc,avg_ctr_mobile,bid_pos1,bid_pos2,bid_pos3
2026-06-15,신용카드,13200,91000,104200,높음,15,0.72,1.15,5600,4100,2900
2026-06-15,체크카드,8100,54000,62100,중간,12,0.65,1.02,3200,2400,1700
2026-06-15,카드추천,4300,38000,42300,높음,15,0.81,1.33,6100,4500,3200
2026-06-15,신용카드발급,2600,21000,23600,중간,11,0.58,0.95,2800,2100,1500
2026-06-15,카드혜택,3100,27000,30100,낮음,8,0.49,0.88,1900,1400,1000
2026-06-16,신용카드,12800,89500,102300,높음,15,0.70,1.12,5800,4200,3000
2026-06-16,체크카드,8400,55200,63600,중간,13,0.66,1.05,3300,2450,1750
2026-06-16,카드추천,4500,39500,44000,높음,15,0.83,1.36,6300,4600,3300
2026-06-16,신용카드발급,2500,20400,22900,중간,11,0.57,0.93,2750,2050,1480
2026-06-16,카드혜택,3300,28600,31900,낮음,9,0.51,0.90,1950,1450,1050
2026-06-17,신용카드,13500,92800,106300,높음,16,0.74,1.18,5900,4300,3050
2026-06-17,체크카드,8000,53800,61800,중간,12,0.64,1.01,3250,2420,1720
2026-06-17,카드추천,4700,41000,45700,높음,16,0.85,1.40,6500,4750,3400
2026-06-17,신용카드발급,2700,21800,24500,중간,12,0.60,0.97,2900,2150,1550
2026-06-17,카드혜택,3500,30100,33600,낮음,9,0.53,0.92,2050,1500,1100
